uf,ano,turno,url
AP,2016, Segundo turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2016/buweb/bweb_2t_AP_31102016133156.zip
AM,2016, Primeiro turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2016/buweb/bweb_1t_AM_04102016205544.zip
AM,2016, Segundo turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2016/buweb/bweb_2t_AM_31102016133050.zip
BA,2016, Primeiro turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2016/buweb/bweb_1t_BA_04102016210517.zip
BA,2016, Segundo turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2016/buweb/bweb_2t_BA_31102016133257.zip
CE,2016, Primeiro turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2016/buweb/bweb_1t_CE_04102016211023.zip
CE,2016, Segundo turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2016/buweb/bweb_2t_CE_31102016133400.zip
ES,2016, Primeiro turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2016/buweb/bweb_1t_ES_04102016211528.zip
ES,2016, Segundo turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2016/buweb/bweb_2t_ES_31102016133510.zip
GO,2016, Primeiro turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2016/buweb/bweb_1t_GO_04102016211949.zip
GO,2016, Segundo turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2016/buweb/bweb_2t_GO_31102016133611.zip
MA,2016, Primeiro turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2016/buweb/bweb_1t_MA_04102016184758.zip
MA,2016, Segundo turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2016/buweb/bweb_2t_MA_31102016133713.zip
MT,2016, Primeiro turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2016/buweb/bweb_1t_MT_04102016185209.zip
MT,2016, Segundo turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2016/buweb/bweb_2t_MT_31102016133938.zip
MS,2016, Primeiro turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2016/buweb/bweb_1t_MS_04102016185130.zip
MS,2016, Segundo turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2016/buweb/bweb_2t_MS_31102016133859.zip
MG,2016, Primeiro turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2016/buweb/bweb_1t_MG_04102016184853.zip
MG,2016, Segundo turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2016/buweb/bweb_2t_MG_31102016133815.zip
PA,2016, Primeiro turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2016/buweb/bweb_1t_PA_04102016185248.zip
PA,2016, Segundo turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2016/buweb/bweb_2t_PA_31102016134029.zip
PB,2016, Primeiro turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2016/buweb/bweb_1t_PB_04102016185359.zip
PR,2016, Primeiro turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2016/buweb/bweb_1t_PR_04102016185638.zip
PR,2016, Segundo turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2016/buweb/bweb_2t_PR_31102016134150.zip
PE,2016, Primeiro turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2016/buweb/bweb_1t_PE_04102016185442.zip
PE,2016, Segundo turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2016/buweb/bweb_2t_PE_31102016134108.zip
PI,2016, Primeiro turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2016/buweb/bweb_1t_PI_04102016185559.zip
RJ,2016, Primeiro turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2016/buweb/bweb_1t_RJ_04102016185804.zip
RJ,2016, Segundo turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2016/buweb/bweb_2t_RJ_31102016134235.zip
RN,2016, Primeiro turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2016/buweb/bweb_1t_RN_04102016190022.zip
RS,2016, Primeiro turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2016/buweb/bweb_1t_RS_04102016190200.zip
RS,2016, Segundo turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2016/buweb/bweb_2t_RS_31102016134403.zip
RO,2016, Primeiro turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2016/buweb/bweb_1t_RO_04102016190100.zip
RO,2016, Segundo turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2016/buweb/bweb_2t_RO_31102016134318.zip
RR,2016, Primeiro turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2016/buweb/bweb_1t_RR_04102016190134.zip
SC,2016, Primeiro turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2016/buweb/bweb_1t_SC_04102016190333.zip
SC,2016, Segundo turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2016/buweb/bweb_2t_SC_31102016134445.zip
SP,2016, Primeiro turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2016/buweb/bweb_1t_SP_04102016190502.zip
SP,2016, Segundo turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2016/buweb/bweb_2t_SP_31102016134607.zip
SE,2016, Primeiro turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2016/buweb/bweb_1t_SE_04102016190429.zip
SE,2016, Segundo turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2016/buweb/bweb_2t_SE_31102016134528.zip
TO,2016, Primeiro turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2016/buweb/bweb_1t_TO_04102016191025.zip
AC,2018, Primeiro turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2018/buweb/BWEB_1t_AC_101020181938.zip
AC,2018, Segundo turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2018/buweb/BWEB_2t_AC_301020181744.zip
AL,2018, Primeiro turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2018/buweb/BWEB_1t_AL_101020181938.zip
AL,2018, Segundo turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2018/buweb/BWEB_2t_AL_301020181744.zip
AM,2018, Primeiro turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2018/buweb/BWEB_1t_AM_101020181938.zip
AM,2018, Segundo turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2018/buweb/BWEB_2t_AM_301020181744.zip
AP,2018, Primeiro turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2018/buweb/BWEB_1t_AP_101020181938.zip
AP,2018, Segundo turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2018/buweb/BWEB_2t_AP_301020181744.zip
BA,2018, Primeiro turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2018/buweb/BWEB_1t_BA_101020181938.zip
BA,2018, Segundo turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2018/buweb/BWEB_2t_BA_301020181744.zip
CE,2018, Primeiro turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2018/buweb/BWEB_1t_CE_101020181938.zip
CE,2018, Segundo turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2018/buweb/BWEB_2t_CE_301020181744.zip
DF,2018, Primeiro turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2018/buweb/BWEB_1t_DF_101020181938.zip
DF,2018, Segundo turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2018/buweb/BWEB_2t_DF_301020181744.zip
ES,2018, Primeiro turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2018/buweb/BWEB_1t_ES_101020181938.zip
ES,2018, Segundo turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2018/buweb/BWEB_2t_ES_301020181744.zip
GO,2018, Primeiro turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2018/buweb/BWEB_1t_GO_101020181938.zip
GO,2018, Segundo turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2018/buweb/BWEB_2t_GO_301020181744.zip
MA,2018, Primeiro turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2018/buweb/BWEB_1t_MA_101020181938.zip
MA,2018, Segundo turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2018/buweb/BWEB_2t_MA_301020181744.zip
MG,2018, Primeiro turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2018/buweb/BWEB_1t_MG_101020181938.zip
MG,2018, Segundo turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2018/buweb/BWEB_2t_MG_301020181744.zip
MS,2018, Primeiro turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2018/buweb/BWEB_1t_MS_101020181938.zip
MS,2018, Segundo turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2018/buweb/BWEB_2t_MS_301020181744.zip
MT,2018, Primeiro turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2018/buweb/BWEB_1t_MT_101020181938.zip
MT,2018, Segundo turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2018/buweb/BWEB_2t_MT_301020181744.zip
PA,2018, Primeiro turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2018/buweb/BWEB_1t_PA_101020181938.zip
PA,2018, Segundo turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2018/buweb/BWEB_2t_PA_301020181744.zip
PB,2018, Primeiro turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2018/buweb/BWEB_1t_PB_101020181938.zip
PB,2018, Segundo turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2018/buweb/BWEB_2t_PB_301020181744.zip
PE,2018, Primeiro turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2018/buweb/BWEB_1t_PE_101020181938.zip
PE,2018, Segundo turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2018/buweb/BWEB_2t_PE_301020181744.zip
PI,2018, Primeiro turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2018/buweb/BWEB_1t_PI_101020181938.zip
PI,2018, Segundo turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2018/buweb/BWEB_2t_PI_301020181744.zip
PR,2018, Primeiro turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2018/buweb/BWEB_1t_PR_101020181938.zip
PR,2018, Segundo turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2018/buweb/BWEB_2t_PR_301020181744.zip
RJ,2018, Primeiro turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2018/buweb/BWEB_1t_RJ_101020181938.zip
RJ,2018, Segundo turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2018/buweb/BWEB_2t_RJ_301020181744.zip
