UF,NM_MUNICIPIO,LOCAL_COD,POP2000_TOT,POP2010_TOT,POP2022_TOT,VAR_00-10,VAR_10-22
BA,BUERAREMA,2904704,19118.0,18622.0,16880,-2.5944136415943087,-9.354526903662334
BA,BURITIRAMA,2904753,17797.0,19589.0,19514,10.069112771815474,-0.3828679360865792
BA,CAATIBA,2904803,15508.0,11448.0,6915,-26.18003611039463,-39.596436058700206
BA,CABACEIRAS DO PARAGUACU,2904852,15547.0,17327.0,19432,11.449154177654854,12.148669706238818
BA,CACHOEIRA,2904902,30416.0,32035.0,31982,5.322856391372962,-0.16544404557515216
BA,CACULE,2905008,20339.0,22231.0,22412,9.30232558139535,0.8141783995321847
BA,CAEM,2905107,12563.0,10376.0,10360,-17.408262357717106,-0.15420200462606012
BA,CAETANOS,2905156,13076.0,13666.0,13242,4.512083205873356,-3.102590370261964
BA,CAETITE,2905206,45090.0,47524.0,52099,5.398092703481925,9.626714922986281
BA,CAFARNAUM,2905305,16059.0,17212.0,17975,7.179774581231708,4.432953753195445
BA,CAIRU,2905404,11410.0,15366.0,17591,34.671340929009645,14.480020825198489
BA,CALDEIRAO GRANDE,2905503,11395.0,12485.0,13063,9.565598946906539,4.6295554665598715
BA,CAMACAN,2905602,31055.0,31468.0,22460,1.3298985670584447,-28.625905681962628
BA,CAMACARI,2905701,161727.0,242984.0,334195,50.243311259097126,37.5378625753136
BA,CAMAMU,2905800,33661.0,35160.0,30480,4.453224800213897,-13.310580204778159
BA,CAMPO ALEGRE DE LOURDES,2905909,27607.0,28091.0,30659,1.7531785416742132,9.141717987967676
BA,CAMPO FORMOSO,2906006,61942.0,66638.0,68571,7.581285718898324,2.9007473213481796
BA,CANAPOLIS,2906105,9743.0,9382.0,10225,-3.7052242635738484,8.985290982732892
BA,CANARANA,2906204,21665.0,24055.0,23491,11.031617816755135,-2.3446268966950736
BA,CANAVIEIRAS,2906303,35322.0,32331.0,33080,-8.467810429760489,2.316662027156599
BA,CANDEAL,2906402,10121.0,8895.0,7785,-12.113427526924218,-12.478920741989882
BA,CANDEIAS,2906501,76783.0,83077.0,77026,8.197126968209108,-7.283604367032994
BA,CANDIBA,2906600,12124.0,13205.0,13007,8.916199274166942,-1.4994320333207118
BA,CANDIDO SALES,2906709,28516.0,27916.0,25278,-2.1040819189227102,-9.449777905144003
BA,CANSANCAO,2906808,31947.0,32923.0,39475,3.0550599430306447,19.900981077058592
BA,CANUDOS,2906824,13761.0,15755.0,15906,14.490226001017367,0.9584258965407808
BA,CAPELA DO ALTO ALEGRE,2906857,11898.0,11527.0,10754,-3.11817112119684,-6.705994621323848
BA,CAPIM GROSSO,2906873,23908.0,26529.0,33344,10.96285762088004,25.688868785103097
BA,CARAIBAS,2906899,17164.0,10225.0,9938,-40.42763924493125,-2.8068459657701714
BA,CARAVELAS,2906907,20103.0,21437.0,21612,6.635825498681788,0.8163455707421748
BA,CARDEAL DA SILVA,2907004,8034.0,8271.0,8376,2.9499626587005228,1.2694958287994198
BA,CARINHANHA,2907103,27272.0,28378.0,28869,4.055441478439425,1.730213545704419
BA,CASA NOVA,2907202,55730.0,64944.0,71572,16.533285483581555,10.205715693520572
BA,CASTRO ALVES,2907301,25561.0,25419.0,24700,-0.5555338210555143,-2.8285927849246626
BA,CATOLANDIA,2907400,3092.0,2609.0,3480,-15.620957309184993,33.38443848217708
BA,CATU,2907509,46731.0,51075.0,48137,9.295756564165115,-5.7523250122369065
BA,CATURAMA,2907558,8640.0,8847.0,8847,2.3958333333333335,0.0
BA,CENTRAL,2907608,16792.0,17027.0,16223,1.3994759409242497,-4.7219122570035825
BA,CHORROCHO,2907707,10171.0,10734.0,10587,5.5353455904040905,-1.3694801565120178
BA,CICERO DANTAS,2907806,30934.0,32304.0,30836,4.428783862416759,-4.54432887568103
BA,CIPO,2907905,14285.0,15764.0,17246,10.353517675883793,9.401167216442527
